RA_ICRS,DE_ICRS,Gmag
12.27406642853,38.609267655,15.136655
12.24880369901,38.60629866821,15.347211
12.30539492343,38.62594271634,15.913064
12.29523777327,38.62724997335,14.666237
12.2855371586,38.63198532332,15.438208
12.26963927068,38.63262829225,15.698695
12.30292769064,38.6587274676,15.853889
12.47159339052,38.5942280998,12.524838
12.44649156463,38.58974719411,11.148009
12.4593491482,38.60437001153,15.862651
12.40359762466,38.57979131587,13.087891
12.48179865472,38.60054892014,13.940921
12.50777352224,38.6308269901,15.911264
12.45346869098,38.6316552266,14.001618
12.58124895897,38.65786208145,11.730687
12.56595709142,38.65878695829,14.913969
12.59700643534,38.66183968677,15.775667
12.62824392296,38.67014118163,15.748508
12.65155064717,38.68335340543,12.76354
12.63351236454,38.69258645218,15.437565
12.60823598314,38.69061344775,15.534426
12.63315600338,38.70500301451,13.970386
12.59441566369,38.70467861774,15.457091
12.61971003095,38.71926505756,11.948271
12.51337450224,38.65193413659,15.677052
12.5062922131,38.66584545775,15.069422
12.51516132962,38.67841973421,15.759607
12.51099295707,38.68455083219,15.911961
12.52623519572,38.70927142956,8.54821
12.56358677184,38.71736603555,11.182926
12.54992412499,38.72837498491,14.708558
12.57459808928,38.74759791811,15.455595
12.58408130876,38.75805242154,10.26018
12.42268075737,38.63899344669,15.153033
12.39979354091,38.62926500201,15.101431
12.37496302732,38.64013724735,15.627816
12.38165531998,38.64883172115,13.515546
12.39771554322,38.66934800509,15.81385
12.4200684086,38.70029752604,13.630425
12.36068501272,38.66931608705,14.964133
12.36059653928,38.6695740621,13.481216
12.31096730577,38.68006221609,15.678172
12.34785620252,38.70081273419,14.992744
12.35978910347,38.69580291139,15.364849
12.38252957356,38.71830814222,13.257628
12.43034372317,38.73332374174,13.482535
12.48313734749,38.69894331694,15.731201
12.473018393,38.69843702973,15.110769
12.48014798345,38.72503152079,12.937853
12.49897852463,38.73478607263,15.972497
12.50431378438,38.73888286562,7.731636
12.46281228008,38.75067085464,15.919029
12.4772360373,38.75825849825,14.688955
12.53215365902,38.7411529994,15.550926
12.56084386492,38.78125210721,15.450303
12.52341127503,38.80288328567,15.957054
12.53069982295,38.8141284748,10.48686
12.4361954039,38.74467420978,15.144233
12.41390309058,38.77479383571,14.581834
12.44112175735,38.79409767401,11.844875
12.48162941108,38.78199911086,15.551016
12.49456645098,38.81360309219,15.950111
12.465814429,38.81402197249,15.127335
12.47781724593,38.84713011991,15.039496
12.12283373973,38.531879462,13.372041
12.19324463171,38.56385016494,15.594834
12.19945896983,38.58386287628,15.824705
12.18183400532,38.59626101469,15.89643
12.19631948806,38.60069460388,15.203609
12.15664332614,38.577885824,15.251016
12.16452969714,38.61855919282,15.25962
12.1036272842,38.57419186057,10.574993
12.09689466277,38.58048899631,11.650474
12.06118007655,38.5745516498,14.471373
12.08207119294,38.58855476254,14.678741
12.06708447269,38.58734388504,15.865305
12.08080492121,38.6020691606,13.244364
12.07515262713,38.60138559092,14.348248
12.07680536034,38.60366758401,13.928493
12.13768675386,38.60089046078,15.890554
12.12870690987,38.61128952224,14.324244
12.16948466219,38.6348980553,14.563492
12.14052934467,38.63334562233,15.495716
12.12859448545,38.67317730685,15.428273
12.22791241941,38.6093531231,15.38204
12.22919176128,38.61244176331,14.24604
12.2126022034,38.61812384173,14.786721
12.29285209114,38.67519195918,12.792207
12.27278039492,38.68149404048,15.419711
12.24420177745,38.68345790946,13.735799
12.22781002687,38.67288760611,15.20928
12.24561907554,38.70988418407,15.126874
12.1573797862,38.65361428902,14.606251
12.18041718801,38.67153754173,13.7632
12.19920102477,38.69583067712,11.483828
12.18407891217,38.70779089608,14.935803
12.20042216356,38.71758799832,15.070089
12.2145425347,38.72987649114,14.996943
12.21251469386,38.76350783353,14.241508
12.07087949347,38.64151319611,9.839335
12.05839913148,38.63576912341,15.043953
12.06783475864,38.64080146011,14.900688
12.06461494384,38.64181234313,15.848482
12.06861172587,38.64345793995,15.934427
12.05500332042,38.64837629642,15.950846
