Source,RA_ICRS,DE_ICRS,Gmag
3016988305219100672,84.41633562137,-6.04885057161,17.877453
3016988305219100544,84.42112653237,-6.04658099508,17.341257
3016988335282938368,84.43306805265,-6.03813030005,19.36474
3016988373938577664,84.40467973812,-6.04184109296,11.948055
3016988369642676992,84.40358780506,-6.03532192603,21.005857
3016988369642677632,84.41228642338,-6.02997206053,20.779905
3016988404002415872,84.41459851017,-6.03147600544,20.68065
3016988408298314880,84.41777717462,-6.02262085032,14.743884
3016988408298314496,84.42055579755,-6.02084152173,18.621897
3016988408297750784,84.41664198027,-6.01941610282,21.140524
3016988541441366528,84.33489750194,-6.06620002795,19.409729
3016988545737616768,84.32966008129,-6.05899884315,20.976574
3016988610160844928,84.36696297697,-6.05343372419,19.432747
3016988648816488320,84.34682392249,-6.0565688518,14.337048
3016988648816488576,84.34557993785,-6.05582821781,15.687161
3016988683176226176,84.35383227433,-6.04505630598,17.168018
3016988713240863104,84.30526735611,-6.05792963236,20.081297
3016988717535967232,84.31013248395,-6.05651023779,15.472176
3016988781960203648,84.30456888826,-6.05416969409,19.99565
3016988786255444992,84.29180036118,-6.05101172368,14.797782
3016988816319067136,84.31021410936,-6.03688769297,18.977692
3016988919398282496,84.31688026025,-6.03399408099,18.294397
3016988958054132864,84.3287290583,-6.02177927505,17.96089
3016989026773606912,84.38454425699,-6.02873196219,17.4062
3016989056837485184,84.35557215407,-6.03480587537,20.832378
3016989125556921856,84.39310576638,-6.0258163826,19.931519
3016989125556715776,84.39690351109,-6.01887312761,18.229805
3016989164212558848,84.41666227934,-6.0177727262,18.882603
3016989159916454656,84.41840923544,-6.01684898808,18.390726
3016989159916660480,84.40509178512,-6.01868372214,20.04543
3016989198572641920,84.38044608253,-6.01807212651,20.243649
3016989301651662976,84.36456866005,-6.02410164496,16.296953
3016989336011252992,84.34894088602,-6.01331385164,16.442621
3016989331715146112,84.33326483484,-6.01788590588,18.536325
3016989336011253632,84.34110645687,-6.01493935219,10.680417
3016989336009776896,84.34577887634,-6.01327081242,20.421303
3016989400434623872,84.37574701789,-6.0093231504,18.954844
3016989439090466176,84.38573664147,-5.99984836293,12.583128
3016989469154306560,84.3701894079,-5.99987980543,19.833233
3016989473448726144,84.35821300759,-5.99960845876,19.201515
3016989503514045056,84.37549409134,-5.99683955832,19.288748
3016989503513839744,84.36759978894,-5.9908102817,20.255693
3016989503513840512,84.37831126171,-5.98537321572,17.605015
3017077876761937408,84.52598672097,-6.08840682786,21.062315
3017077979840902656,84.53000189032,-6.07332006667,18.675896
3017078529596982656,84.57949304235,-6.03835282604,20.876446
3017078667035753600,84.49966283318,-6.06838708885,19.931227
3017078705691259904,84.50378237529,-6.06646162514,15.827775
3017078701395513216,84.50532854005,-6.06642836085,18.546148
3017078705691259264,84.51093651307,-6.06664035582,16.53012
3017078804474871936,84.51831026432,-6.04690844494,20.645262
3017078907553844096,84.50538998179,-6.05465675901,16.928503
3017078907554084352,84.49561174709,-6.05121356145,20.907223
3017078907553922432,84.49902651821,-6.04759029111,20.260088
3017078976273321600,84.48153092771,-6.0445616283,19.390793
3017079186725808256,84.57020164883,-6.03429870756,19.662477
3017079216791491072,84.53303566711,-6.03709667256,18.178337
3017079319870967168,84.58560400934,-6.02048527527,21.050652
3017079427243980672,84.53339440135,-6.02755366686,20.352472
3017079457309757568,84.53325001053,-6.01922271017,20.618824
3017079526029140480,84.53726911406,-6.00853253463,18.745625
3017079526029226368,84.52308015891,-6.01144390211,20.566513
3017079560388972800,84.54265939307,-6.00911344852,20.538559
3017079667763926528,84.55714285229,-5.99029736902,18.04067
3017079667764329472,84.54409322797,-5.99023907369,20.565248
3017080075784954496,84.60794253853,-6.00838245779,18.782993
3017080797339554176,84.59317644461,-6.01526397495,20.415956
3017080797339720064,84.59223789081,-6.00068165274,20.71593
3017080904714714240,84.59444199971,-5.99538202483,15.997005
3017080900418679936,84.59146409696,-5.9834992626,18.094757
3017080904714504832,84.59457735351,-5.98270387912,19.31429
3017080969138160896,84.63143909553,-5.97424173969,18.130768
3017081042151657600,84.61478674028,-5.97710903523,21.298986
3017081037857637504,84.61647558586,-5.97518020121,19.587463
3017081037857727744,84.61177772597,-5.9665079967,20.54767
3017081037857640192,84.61375019566,-5.96380261924,18.395212
3017081145230886912,84.56329904851,-5.98107670717,19.928123
3017081145230883968,84.57065191083,-5.97961512184,20.140213
3017081209656418944,84.59086255334,-5.9748461462,20.742327
3017081278375883904,84.58699038284,-5.96273353254,20.497093
3017081282669829760,84.57662231481,-5.9613452591,20.20053
3017081278375810560,84.57701456246,-5.95921150964,12.404726
3017081312735634304,84.60020737268,-5.94661962794,20.61932
3017081312735634176,84.59749548064,-5.94846582521,20.476936
3017081347095550080,84.63681125443,-5.96703460627,20.628979
3017081420110980096,84.63175011183,-5.96583656312,19.97732
3017081415815025408,84.63410214751,-5.9594489256,20.669111
3017081553252856576,84.65615934748,-5.94187479998,19.276287
3017081553252861824,84.64485252204,-5.93676816529,19.612026
3017081587613732352,84.65938660633,-5.92727985881,20.879423
3017081621973194496,84.61706627797,-5.95667614545,19.092148
3017081621973280128,84.62293742977,-5.94704522294,21.108105
3017081626267202816,84.60788061211,-5.95031912578,20.214886
3017081626269006336,84.61452718802,-5.94715190075,19.269464
3017081660626933504,84.62676734834,-5.93435457429,19.936872
3017081690692736768,84.60683334878,-5.94162545393,20.435175
3017081725051915520,84.6201450686,-5.93870846696,20.394371
3017081725051561856,84.61752007964,-5.93041206167,18.638391
3017081759412233728,84.6343125972,-5.93111295724,20.313595
3017081793771050240,84.64628292029,-5.92128455922,19.660908
3017081828131143040,84.62047691436,-5.92055624144,20.711903
3017081931210899072,84.48146038489,-6.03813821447,20.328415
3017081969866406016,84.45353491533,-6.0421595994,16.52363
3017081965570792064,84.46156056843,-6.03523502618,20.858803
3017082004226544384,84.46852310973,-6.02912939151,15.947344
3017082004226143616,84.45765510762,-6.02879343251,17.352594
3017081999930300544,84.4612713853,-6.02552601474,18.184183
3017082038585879936,84.48716659432,-6.02690736066,17.080523
3017082072945616384,84.49694129312,-6.02094312461,20.882338
3017082103009516160,84.46995229831,-6.02253000622,18.83476
3017082103009591936,84.47172548336,-6.02226593316,21.10905
