#Table1
class,z,dered_r
GALAXY,0.02170876,16.34878
GALAXY,0.03645882,16.34754
GALAXY,0.067523,17.08147
GALAXY,0.5805135,19.66674
GALAXY,0.021758,15.68986
GALAXY,0.4418353,18.68525
GALAXY,0.03645184,16.34754
GALAXY,0.0536029,17.74122
GALAXY,0.1284871,17.68066
GALAXY,0.1285717,17.68066
GALAXY,0.06228172,17.00472
GALAXY,0.1254174,17.45678
QSO,0.3253868,18.91617
GALAXY,0.06331611,16.00241
GALAXY,0.03673035,15.40996
GALAXY,0.0631806,16.77499
GALAXY,0.2719066,18.31175
GALAXY,0.1240477,17.56159
GALAXY,0.6089833,
QSO,0.3254063,18.91617
GALAXY,0.08990419,17.2913
GALAXY,0.02158549,13.69102
GALAXY,0.06296081,16.08683
GALAXY,0.1062286,
GALAXY,0.09139155,17.23632
GALAXY,0.03674017,15.40996
GALAXY,0.06740563,16.17189
GALAXY,0.06307655,16.51921
GALAXY,0.06335986,16.00241
GALAXY,0.1262772,17.64883
GALAXY,0.3691974,18.8006
GALAXY,0.09138892,17.23632
GALAXY,0.09155686,17.52931
GALAXY,0.2719286,18.31175
GALAXY,0.0215799,17.53996
GALAXY,0.02157441,17.53996
GALAXY,0.09150308,17.52931
GALAXY,0.02160817,13.69102
GALAXY,0.08999165,17.2913
GALAXY,0.1255432,17.45678
GALAXY,0.06293288,16.08683
GALAXY,0.1254106,17.71631
GALAXY,0.1254095,17.71631
GALAXY,0.0632066,16.77499
GALAXY,0.1240625,17.56159
GALAXY,0.3693364,18.8006
GALAXY,0.1261984,17.64883
GALAXY,0.06737973,16.17189
GALAXY,0.0630479,16.51921
GALAXY,0.09773864,16.69348
GALAXY,0.5171112,19.05894
GALAXY,0.122412,17.56095
GALAXY,0.1451134,17.0055
QSO,2.18728,18.94705
GALAXY,0.1270235,16.38202
QSO,3.727546,
GALAXY,0.2031962,17.45449
GALAXY,0.0909887,17.22193
GALAXY,0.09798842,17.49728
GALAXY,0.5176563,19.05894
GALAXY,0.09780035,16.69348
QSO,5.415032,
GALAXY,0.2031299,17.45449
GALAXY,0.09099656,17.22193
QSO,0.2886166,18.46733
QSO,2.187457,18.94705
GALAXY,0.1270241,16.38202
GALAXY,0.1258195,17.43075
GALAXY,0.1294421,17.05925
GALAXY,0.1277906,17.17189
GALAXY,0.127786,17.30606
GALAXY,0.1294907,17.05925
GALAXY,0.06265986,17.43679
GALAXY,0.3458818,18.61628
GALAXY,0.1450628,17.0055
GALAXY,0.1554309,17.32929
GALAXY,0.1554128,17.32929
GALAXY,0.1277459,17.30606
GALAXY,0.1278422,17.17189
GALAXY,0.09799004,17.49728
GALAXY,0.1224862,17.56095
GALAXY,0.3459876,18.61628
GALAXY,0.06265516,17.43679
GALAXY,0.1258058,17.43075
QSO,0.2884945,18.46733
GALAXY,0.1473004,18.72235
GALAXY,0.3835985,19.06617
GALAXY,0.06757296,15.6645
GALAXY,0.1480799,17.08079
GALAXY,0.1480436,17.08079
GALAXY,0.1432976,17.0404
GALAXY,0.1526121,17.18936
GALAXY,0.1491852,17.6383
GALAXY,0.3833947,19.06617
GALAXY,0.06249849,15.79675
GALAXY,0.1432015,17.0404
GALAXY,0.1527078,17.18936
GALAXY,0.0625282,15.79675
GALAXY,0.06759457,15.6645
GALAXY,0.0216521,16.00455
QSO,1.36213,18.6058
GALAXY,0.1454684,17.37272
GALAXY,0.1473114,18.72235
QSO,2.080349,
GALAXY,0.3456734,18.49545
GALAXY,0.1491249,17.6383
GALAXY,0.09848519,17.15902
GALAXY,0.09854387,17.15902
GALAXY,0.0983509,17.04454
GALAXY,0.06758778,15.96734
GALAXY,0.9712744,
GALAXY,0.1461377,17.0759
GALAXY,0.14551,17.37272
GALAXY,0.0715631,16.92147
GALAXY,0.02165231,16.00455
QSO,1.362211,18.6058
GALAXY,0.06763429,15.96734
GALAXY,0.3458382,18.49545
GALAXY,0.07156569,16.92147
GALAXY,0.4016978,19.24209
GALAXY,0.1460339,17.0759
GALAXY,0.1426178,16.97248
GALAXY,0.1425823,16.97248
GALAXY,0.09833237,17.04454
GALAXY,0.4019251,19.24209
GALAXY,0.5158679,19.11213
GALAXY,0.06259136,16.33444
QSO,1.585431,18.80591
GALAXY,0.09118938,16.84756
GALAXY,0.1458226,17.02391
GALAXY,0.09830175,21.71612
GALAXY,0.1439173,16.95429
QSO,1.615831,19.01941
GALAXY,0.1640238,17.55249
GALAXY,0.1247047,17.38391
GALAXY,0.06260142,16.33444
QSO,0.06315506,17.16575
GALAXY,0.1254564,21.31741
GALAXY,0.5156041,19.11213
GALAXY,0.09768173,17.70629
GALAXY,0.03034743,17.31336
GALAXY,0.09832241,21.71612
GALAXY,0.1438666,16.95429
GALAXY,0.09113582,16.84756
QSO,1.616922,19.01941
GALAXY,0.1254306,21.31741
GALAXY,0.09777857,17.70629
GALAXY,0.1451554,17.51945
GALAXY,0.1459143,17.02391
GALAXY,0.3580701,18.74611
GALAXY,0.1640542,17.55249
GALAXY,0.3582107,18.74611
GALAXY,0.1451567,17.51945
GALAXY,0.1247304,17.38391
QSO,1.584228,18.80591
QSO,0.06319997,17.16575
GALAXY,0.1448559,17.65957
GALAXY,0.1448964,17.65957
GALAXY,0.03036259,17.31336
GALAXY,0.4609126,18.84896
GALAXY,0.1468171,17.30804
GALAXY,0.090209,17.68741
GALAXY,0.1469578,17.296
GALAXY,0.06084378,16.10692
GALAXY,0.1467383,17.32211
GALAXY,0.1477088,16.84752
GALAXY,0.1490629,16.6096
GALAXY,0.1467894,17.296
GALAXY,0.1477299,16.84752
GALAXY,0.1464075,17.64066
GALAXY,0.09888671,17.51466
GALAXY,0.09882925,17.51466
GALAXY,0.08816301,17.17488
GALAXY,0.08805942,17.17488
GALAXY,0.8588544,
GALAXY,0.06685422,14.7828
GALAXY,0.06686618,14.7828
GALAXY,0.1463829,17.64066
GALAXY,0.4607444,18.84896
GALAXY,0.2178028,17.41254
QSO,0.3395857,18.44979
GALAXY,0.2184621,17.68821
GALAXY,0.1492066,16.6096
QSO,0.3395638,18.44979
GALAXY,0.1259125,17.39176
GALAXY,0.09023955,17.68741
GALAXY,0.2183785,17.68821
GALAXY,0.1468341,17.30804
GALAXY,0.2177645,17.41254
GALAXY,0.06079154,16.10692
GALAXY,0.08842166,16.95877
GALAXY,0.08841285,16.95877
GALAXY,0.1467638,17.32211
GALAXY,0.126749,17.38397
GALAXY,0.1259298,17.39176
GALAXY,0.1267773,17.38397
GALAXY,0.1468108,17.59341
GALAXY,0.1213054,17.5263
GALAXY,0.1486831,17.25802
GALAXY,0.1224656,17.35431
GALAXY,0.3420536,18.43211
GALAXY,0.3363668,18.59298
GALAXY,0.34534,
GALAXY,0.1486212,17.25802
GALAXY,0.3554809,
GALAXY,0.03587863,17.21711
GALAXY,0.1267284,17.08335
GALAXY,0.09087794,17.01889
QSO,2.566266,18.66386
GALAXY,0.3422793,18.43211
GALAXY,0.3661507,18.57145
GALAXY,0.1468838,17.59341
GALAXY,0.08993113,16.98563
GALAXY,0.3662392,18.57145
GALAXY,0.3363324,18.59298
GALAXY,0.09053612,17.02629
GALAXY,0.1228116,17.17769
GALAXY,0.09001952,16.98563
GALAXY,0.09091154,17.01889
GALAXY,0.3451926,
GALAXY,0.0901821,16.92782
GALAXY,0.1267641,17.08335
GALAXY,0.1212464,17.5263
QSO,1.373233,19.65656
GALAXY,0.09051491,17.02629
GALAXY,0.122822,17.17769
GALAXY,0.1224499,17.35431
GALAXY,0.1814355,17.66863
GALAXY,0.181434,17.66863
GALAXY,0.09826267,17.53619
GALAXY,0.03590238,17.21711
GALAXY,0.09017077,16.92782
GALAXY,0.09823761,17.53619
QSO,2.56681,18.66386
QSO,1.880787,18.53752
GALAXY,0.08817254,17.26817
GALAXY,0.4605287,18.82591
QSO,1.878727,18.53752
GALAXY,0.1425671,17.64615
