pl_name,discoverymethod,pl_rade,pl_bmasse
"Kepler-639 b","Transit",,
"Kepler-1465 b","Transit",1.74000000,
"HD 159243 c","Radial Velocity",,603.90000000
"Kepler-541 b","Transit",1.92000000,
"EPIC 205950854 c","Transit",1.31000000,
"Kepler-1381 b","Transit",,
"TOI-1064 b","Transit",2.58336201,
"Kepler-528 b","Transit",2.10000000,
"Kepler-450 c","Transit",,
"Kepler-1139 b","Transit",1.14000000,
"KMT-2022-BLG-2076L b","Microlensing",,279.68899816
"Kepler-1173 b","Transit",0.85400000,
"K2-162 b","Transit",1.44000000,
"Kepler-1541 b","Transit",1.95000000,
"Kepler-1320 b","Transit",1.70000000,
"Kepler-1325 b","Transit",3.05300000,
"Kepler-505 b","Transit",,
"K2-80 b","Transit",2.01000000,
"Kepler-635 b","Transit",3.69100000,
"HD 82943 b","Radial Velocity",,489.13791837
"Kepler-24 b","Transit",2.34800000,11.14000000
"CoRoT-2 b","Transit",16.53327500,
"HATS-5 b","Transit",,
"HD 136118 b","Radial Velocity",,5244.16871550
"Kepler-1294 b","Transit",2.80000000,
"HAT-P-56 b","Transit",16.92559000,734.18730000
"Kepler-245 c","Transit",,26.70000000
"HATS-1 b","Transit",,
"Kepler-1701 b","Transit",2.22186207,
"Kepler-121 c","Transit",,
"Kepler-189 c","Transit",2.81000000,
"WASP-195 b","Transit",10.31226224,33.05415433
"Kepler-93 c","Radial Velocity",,954.00000000
"HD 117207 b","Radial Velocity",,612.14058000
"Kepler-1949 b","Transit",0.95000000,
"Kepler-1530 d","Transit",3.27870115,
"Kepler-172 d","Transit",,
"Kepler-303 b","Transit",0.99000000,
"Kepler-155 b","Transit",1.73000000,
"Kepler-143 b","Transit",2.22000000,
"Kepler-49 d","Transit",1.51000000,
"Kepler-1366 b","Transit",1.28000000,
"HAT-P-6 b","Transit",14.90797000,351.51998000
"Kepler-1912 b","Transit",,
"TOI-1728 b","Transit",5.05000000,26.78000000
"Kepler-304 b","Transit",3.80000000,
"HD 156279 c","Radial Velocity",,3003.47844615
"Kepler-610 b","Transit",4.19000000,
"HD 188641 b","Radial Velocity",,9333.03117155
"Kepler-162 b","Transit",1.52800000,
"Kepler-1999 b","Transit",4282.98000000,
"Kepler-865 b","Transit",2.35000000,
"HD 221287 b","Radial Velocity",,982.05000000
"K2-147 b","Transit",1.47286006,
"OGLE-2016-BLG-0613L AB b","Microlensing",,871.00000000
"TOI-251 b","Transit",2.74000000,317.83000000
"Kepler-838 b","Transit",2.85000000,
"K2-334 b","Transit",5.00000000,
"Kepler-20 b","Transit",2.00700000,9.51297537
"Kepler-1357 b","Transit",1.12000000,
"HR 8799 b","Imaging",6.72540000,
"Kepler-221 b","Transit",1.58700000,
"Kepler-179 c","Transit",,
"Kepler-1562 b","Transit",,
"Kepler-188 c","Transit",2.73000000,
"K2-114 b","Transit",10.55887800,587.98550000
"Kepler-1277 b","Transit",1.48200000,
"Kepler-365 b","Transit",1.83000000,
"Kepler-1529 b","Transit",1.94000000,
"WASP-113 b","Transit",,
"Kepler-332 b","Transit",1.21000000,
"Kepler-1327 b","Transit",1.80000000,
"HD 30562 b","Radial Velocity",,387.75260000
"Kepler-377 c","Transit",2.02500000,
"Kepler-1869 b","Transit",,
"Kepler-601 b","Transit",1.77000000,
"Kepler-342 b","Transit",2.10300000,
"Kepler-831 b","Transit",1.44300000,
"Kepler-1814 c","Transit",1.56000000,
"Kepler-1498 b","Transit",,
"Kepler-1423 b","Transit",2.62000000,
"Kepler-1201 b","Transit",1.92000000,
"Kepler-920 b","Transit",2.57000000,
"Kepler-1074 b","Transit",1.19000000,
"Kepler-263 c","Transit",2.89000000,
"Kepler-289 c","Transit",11.59000000,132.00000000
"Kepler-1336 c","Transit",1.03000000,
"Kepler-515 b","Transit",,
"MOA-2020-BLG-208L b","Microlensing",,69.00000000
"Kepler-273 c","Transit",1.58400000,
"Kepler-1047 c","Transit",0.99000000,
"Kepler-859 b","Transit",,
"Kepler-1380 b","Transit",1.34000000,
"Kepler-1271 b","Transit",1.62000000,
"Kepler-354 d","Transit",1.46000000,
"Kepler-42 d","Transit",3.08000000,
"Kepler-154 f","Transit",1.26000000,
"Kepler-229 b","Transit",2.28800000,
"HD 102329 c","Radial Velocity",,483.10160000
"Kepler-57 c","Transit",1.58000000,
"Kepler-56 c","Transit",11.43000000,
"Kepler-229 d","Transit",3.62000000,
"Kepler-1504 b","Transit",2.13000000,
"Kepler-1789 b","Transit",,
"Kepler-942 b","Transit",1.84000000,
"KMT-2021-BLG-0171L b","Microlensing",,5.90000000
"WASP-28 b","Transit",,
"Kepler-1279 b","Transit",,
"TOI-1452 b","Transit",1.67200000,4.82000000
"Kepler-335 b","Transit",3.11000000,
"Kepler-1251 b","Transit",,
"Kepler-352 c","Transit",1.61000000,
"Kepler-289 e","Transit",,17.40000000
"Kepler-1154 c","Transit",2.36000000,
"Kepler-138 c","Transit",1.33000000,
"Kepler-33 d","Transit",4.52900000,
"Kepler-1155 b","Transit",,
"Kepler-150 d","Transit",2.78000000,
"Kepler-124 b","Transit",0.91600000,
"HD 99706 b","Radial Velocity",,444.90000000
"Kepler-581 b","Transit",,
"Kepler-295 d","Transit",,
"Kepler-122 e","Transit",1.93000000,
"Kepler-1624 b","Transit",,
"Kepler-821 b","Transit",,
"Kepler-1387 b","Transit",0.78000000,
"Kepler-98 b","Transit",,
"K2-139 b","Transit",9.26802368,
"Kepler-1013 b","Transit",4.70000000,
"Kepler-1573 b","Transit",,
"Kepler-1692 b","Transit",1.00000000,
"Kepler-1346 b","Transit",1.19000000,
"Kepler-1809 b","Transit",,
"Kepler-220 b","Transit",,
"HD 108874 c","Radial Velocity",,362.00655557
"Kepler-1892 b","Transit",1.48000000,
"Kepler-305 b","Transit",,
"Kepler-9 c","Transit",8.65000000,509.70000000
"KOI-1599.01","Transit",1.90000000,
"Kepler-201 c","Transit",,
"K2-29 b","Transit",,
"Kepler-515 b","Transit",1.43000000,
"Kepler-33 d","Transit",5.50000000,
"KELT-6 b","Transit",13.37200000,136.66100000
"Kepler-1722 b","Transit",2.20000000,
"Kepler-264 b","Transit",4.86000000,
"Kepler-25 c","Transit",4.59000000,
"Kepler-280 c","Transit",1.84000000,
"TOI-1836 b","Transit",8.00321222,38.45723725
"Kepler-756 b","Transit",1.19000000,
"TOI-2654 b","Transit",7.94454164,
"Kepler-1458 b","Transit",,
"Kepler-222 d","Transit",,
"Kepler-1509 b","Transit",1.91000000,
"Kepler-439 b","Transit",2.33000000,
"K2-113 b","Transit",10.42437000,410.00070000
"NY Vir c","Eclipse Timing Variations",,1760.77820000
"HD 108874 b","Radial Velocity",,432.23000000
"Kepler-99 b","Transit",1.81200000,
"Kepler-30 c","Transit",12.30000000,640.00000000
"Kepler-85 c","Transit",2.14000000,20.90000000
"HD 109246 b","Radial Velocity",,244.72000000
"TOI-1246 e","Transit",3.51418750,14.50000000
"Kepler-1236 b","Transit",,
"Kepler-391 c","Transit",,
"HIP 107772 b","Radial Velocity",,12.90000000
"Kepler-58 c","Transit",,
"WASP-88 b","Transit",18.45046895,
"Kepler-32 f","Transit",2.01000000,
"CoRoT-19 b","Transit",,
"Kepler-1898 b","Transit",0.93353523,
"TOI-122 b","Transit",2.63477634,
"Kepler-675 b","Transit",2.38000000,
"KMT-2021-BLG-0748L b","Microlensing",,149.37935129
"TIC 172900988 b","Transit",11.25000000,942.00000000
"Kepler-1266 b","Transit",2.58000000,
"Kepler-739 b","Transit",3.32000000,
"TOI-7149 b","Transit",13.20000000,224.00000000
"51 Peg b","Radial Velocity",,147.47238085
"HD 97037 b","Radial Velocity",,6707.76852973
"Kepler-419 b","Transit",30.64000000,
"Kepler-1397 b","Transit",1.61000000,
"HATS-68 b","Transit",,
"KMT-2021-BLG-0712L b","Microlensing",,38.19000000
"Kepler-828 b","Transit",1.37900000,
"HAT-P-35 b","Transit",14.93038800,335.62848000
"Kepler-172 e","Transit",3.28700000,
"Kepler-1984 b","Transit",0.69000000,
"Kepler-1842 b","Transit",2.66000000,
"TOI-2015 b","Transit",5.37673000,
"HD 28109 d","Transit",3.25000000,5.68100000
"Kepler-934 b","Transit",,
"Kepler-266 c","Transit",,
"Kepler-1780 b","Transit",,
"HD 92788 b","Radial Velocity",,1061.55220000
"Kepler-574 b","Transit",2.25000000,
"Kepler-579 b","Transit",,
"OGLE-2016-BLG-1195L b","Microlensing",,1.43000000
"Kepler-802 b","Transit",3.46000000,
"WASP-16 b","Transit",,
"Kepler-480 b","Transit",,
"Kepler-1563 b","Transit",0.75000000,
"Kepler-462 b","Transit",3.27700000,
"Kepler-767 b","Transit",6.15000000,
"TOI-2015 c","Transit Timing Variations",,8.91000000
"Kepler-377 b","Transit",1.16000000,
"Kepler-733 b","Transit",2.48400000,
"Kepler-999 b","Transit",2.12200000,
"Kepler-1178 b","Transit",0.73000000,
"Kepler-339 b","Transit",1.46000000,
"K2-185 b","Transit",1.31284773,
"Kepler-327 d","Transit",,
"Kepler-1443 b","Transit",1.11100000,
"Kepler-385 d","Transit",2.46000000,
"Kepler-323 c","Transit",1.93000000,
"K2-3 b","Transit",1.45000000,
"Kepler-1266 c","Transit",1.68023962,
"Kepler-659 b","Transit",2.44000000,
"Kepler-515 b","Transit",1.75000000,
"Kepler-357 c","Transit",2.67000000,
"HAT-P-15 b","Transit",9.57313647,
"Kepler-1130 d","Transit",0.64000000,
"Kepler-1962 b","Transit",1.21000000,
"Kepler-235 c","Transit",1.47800000,
"Kepler-1589 b","Transit",1.27000000,
"Kepler-671 b","Transit",2.33000000,
"Kepler-326 d","Transit",2.43000000,
"Kepler-338 b","Transit",2.47000000,
"Kepler-380 c","Transit",,
"Kepler-174 d","Transit",2.19000000,
"Kepler-18 d","Transit",5.19800000,
"Kepler-750 b","Transit",,
"Kepler-668 b","Transit",2.52000000,
"GJ 463 b","Radial Velocity",,524.09904314
"K2-391 b","Transit",1.37100000,
"Kepler-1854 b","Transit",3.30000000,
"Kepler-1941 b","Transit",1.99000000,
"Kepler-198 d","Transit",1.53000000,
"Kepler-903 c","Transit",2.75000000,
"Kepler-212 c","Transit",2.06000000,
"Kepler-1866 b","Transit",1.68000000,
"Kepler-59 b","Transit",1.02000000,
"TOI-1117 b","Transit",2.46000000,8.90000000
"Kepler-989 b","Transit",2.56000000,
"Kepler-377 c","Transit",,
"HD 11506 b","Radial Velocity",,1525.57635360
"WASP-100 b","Transit",18.94321000,638.83830000
"Kepler-638 b","Transit",4.30600000,
"KOI-13 b","Transit",25.80000000,
"Kepler-1610 b","Transit",,
"Kepler-1152 b","Transit",0.87000000,
"Kepler-1042 b","Transit",,
"Kepler-1729 b","Transit",,
"TOI-3486 b","Transit",10.57006880,99.16246298
"Kepler-1424 b","Transit",1.10000000,
"TOI-257 b","Transit",,
"Kepler-252 c","Transit",,
"Kepler-277 c","Transit",2.85300000,
"K2-216 b","Transit",1.75000000,8.00000000
"Kepler-119 b","Transit",4.28300000,
"Kepler-131 b","Transit",,
"WASP-34 b","Transit",11.20900000,177.98480000
"Kepler-83 b","Transit",2.34000000,
"Kepler-340 b","Transit",,
"Kepler-1347 b","Transit",,
"Kepler-735 b","Transit",,
"HD 125612 d","Radial Velocity",,2313.80240000
"HD 98649 b","Radial Velocity",,3082.93554790
"Kepler-1446 b","Transit",0.74200000,
"XO-5 b","Transit",11.76950648,
"Kepler-988 b","Transit",1.93000000,
"Kepler-967 c","Transit",3.65000000,
"Kepler-647 c","Transit",,
"Kepler-327 d","Transit",1.73000000,
"Kepler-252 b","Transit",,
"Kepler-172 e","Transit",2.47000000,
"WASP-93 b","Transit",17.90077300,467.21010000
"Kepler-174 c","Transit",,
"Kepler-913 c","Transit",3.70000000,
"Kepler-1874 b","Transit",2.21110724,
"Kepler-531 b","Transit",2.77000000,
"HD 87883 b","Radial Velocity",,6674.39654700
"Kepler-1582 b","Transit",,
"Kepler-355 c","Transit",2.82000000,
"Kepler-634 b","Transit",2.14500000,
"TOI-2096 b","Transit",1.24300000,
"Kepler-215 c","Transit",,
"Kepler-721 b","Transit",2.67000000,
"Kepler-10 c","Transit",2.22700000,20.00000000
"Kepler-1666 c","Transit",,
"WASP-91 b","Transit",11.95149929,
"Kepler-1179 b","Transit",1.34000000,
"Kepler-1801 b","Transit",,
"Kepler-965 b","Transit",,
"Kepler-1638 b","Transit",,
"CoRoT-28 b","Transit",10.70459500,153.82972000
"K2-195 b","Transit",3.00000000,
"EPIC 212297394 c","Transit",2.29000000,
"Kepler-363 c","Transit",2.35000000,
"Kepler-1945 b","Transit",1.05000000,
"Gaia23braL b","Microlensing",,518.06030341
"K2-275 c","Transit",2.21000000,
"Kepler-122 c","Transit",4.66000000,
"Kepler-1093 c","Transit",2.08000000,
"Kepler-348 c","Transit",1.09100000,
"TOI-521 b","Transit",1.96530324,
"Kepler-465 b","Transit",2.80000000,
"Kepler-112 c","Transit",2.80000000,
"TOI-5789 c","Transit",2.86000000,5.00000000
"Kepler-398 c","Transit",,
"Kepler-520 b","Transit",2.53800000,
"Kepler-116 c","Transit",1.85000000,
"Kepler-415 b","Transit Timing Variations",1.61000000,
"Kepler-1050 c","Transit",1.48000000,
"Kepler-32 b","Transit",1.94000000,
"HD 100777 b","Radial Velocity",,327.36490000
"HATS-36 b","Transit",13.70940899,
"Kepler-624 b","Transit",2.45000000,
"Kepler-511 c","Transit",2.94000000,
"Kepler-1019 b","Transit",,
"Kepler-838 b","Transit",2.77000000,
"Kepler-597 b","Transit",,
"Kepler-275 b","Transit",2.34000000,
"Kepler-1311 d","Transit",,
"Kepler-648 b","Transit",3.03600000,
"Kepler-308 c","Transit",2.14000000,
"Kepler-37 c","Transit",,
"Kepler-67 b","Transit",2.83000000,
"Kepler-227 b","Transit",2.50000000,
"Kepler-1747 b","Transit",4.11000000,
"OGLE-2014-BLG-1760L b","Microlensing",,295.89824692
"Kepler-149 b","Transit",4.42000000,
"Kepler-1696 b","Transit",,
"Kepler-954 b","Transit",2.25000000,
"Kepler-1576 b","Transit",,
"Kepler-1568 b","Transit",1.29400000,
"HD 96700 b","Radial Velocity",,8.90000000
"Kepler-1488 b","Transit",,
"Kepler-464 b","Transit",3.30000000,
"Kepler-159 c","Transit",2.64000000,
"HATS-17 b","Transit",,
"HD 74156 c","Radial Velocity",,2541.57900000
"Kepler-235 e","Transit",1.83000000,
"Kepler-585 b","Transit",2.54000000,
"K2-199 b","Transit",1.88203097,
"Kepler-277 b","Transit",3.02700000,
"Kepler-176 c","Transit",,
"Kepler-1671 b","Transit",1.05000000,
"Kepler-297 c","Transit",6.54000000,
"Kepler-1466 b","Transit",,
"Kepler-454 b","Transit",2.37000000,5.40000000
"Kepler-1083 b","Transit",3.22100000,
"HAT-P-68 b","Transit",,
"Kepler-742 b","Transit",,
"Kepler-2001 c","Transit",1.82000000,
"Kepler-826 b","Transit",1.10000000,
"Kepler-1199 b","Transit",1.29800000,
"Kepler-223 c","Transit",2.68000000,
"Kepler-687 b","Transit",3.62000000,
"Kepler-1312 b","Transit",1.80000000,
"Kepler-398 b","Transit",,
"Kepler-263 c","Transit",2.18000000,
"Kepler-221 e","Transit",,
"Kepler-1197 b","Transit",1.15000000,
"K2-180 b","Transit",2.24179614,11.44182265
"TOI-1466 b","Transit",2.40733000,
"Kepler-1965 b","Transit",1.06000000,
"Kepler-1003 b","Transit",1.30000000,
"Kepler-79 c","Transit",,
"KOI-13 b","Transit",20.85000000,2637.88000000
"K2-75 c","Transit",2.31000000,
"TOI-5027 b","Transit",10.76062147,642.01338214
"Kepler-1152 b","Transit",1.07000000,
"Kepler-7 b","Transit",17.64600000,
"Kepler-1262 b","Transit",1.91000000,
"Kepler-368 c","Transit",1.42000000,
